,Tram_2,Tram_10,Tram_13,Tram_24,Tram_38
0,13.0,12.0,16.0,11.0,13.0
1,12.0,11.0,14.0,17.0,14.0
2,10.0,11.0,13.0,18.0,11.0
3,12.0,12.0,13.0,17.0,11.0
4,12.0,15.0,19.0,17.0,13.0
5,13.0,16.0,22.0,17.0,10.0
6,16.0,16.0,21.0,20.0,12.0
7,15.0,18.0,18.0,20.0,13.0
8,18.0,11.0,17.0,21.0,18.0
9,12.0,14.0,15.0,11.0,15.0
10,14.0,13.0,16.0,16.0,14.0
11,15.0,13.0,15.0,17.0,19.0
12,13.0,11.0,15.0,22.0,17.0
13,17.0,18.0,19.0,13.0,16.0
14,36.0,23.0,25.0,17.0,15.0
15,19.0,20.0,25.0,20.0,17.0
16,20.0,20.0,18.0,20.0,21.0
17,18.0,24.0,19.0,21.0,15.0
18,18.0,21.0,23.0,23.0,20.0
19,18.0,21.0,26.0,19.0,27.0
20,18.0,18.0,21.0,27.0,17.0
21,15.0,19.0,19.0,16.0,21.0
22,12.0,15.0,12.0,20.0,20.0
23,10.0,13.0,12.0,13.0,18.0
24,10.0,11.0,10.0,8.0,12.0
25,8.0,13.0,6.0,6.0,5.0
26,5.0,9.0,16.0,9.0,7.0
27,4.0,10.0,15.0,3.0,4.0
28,4.0,10.0,14.0,3.0,6.0
29,4.0,12.0,8.0,3.0,7.0
30,4.0,12.0,14.0,6.0,6.0
31,3.0,10.0,12.0,2.0,6.0
32,4.0,10.0,12.0,8.0,7.0
33,7.0,11.0,12.0,9.0,3.0
34,7.0,6.0,13.0,11.0,1.0
35,8.0,7.0,6.0,7.0,6.0
36,9.0,5.0,9.0,11.0,11.0
37,8.0,4.0,3.0,12.0,4.0
38,7.0,7.0,9.0,14.0,9.0
39,12.0,11.0,11.0,10.0,9.0
40,15.0,10.0,17.0,10.0,5.0
41,19.0,11.0,9.0,18.0,14.0
42,16.0,12.0,16.0,14.0,12.0
43,18.0,12.0,11.0,9.0,7.0
44,17.0,12.0,14.0,14.0,14.0
45,14.0,13.0,16.0,14.0,15.0
46,15.0,14.0,15.0,15.0,9.0
47,12.0,16.0,12.0,16.0,14.0
48,12.0,14.0,13.0,11.0,16.0
49,14.0,14.0,8.0,10.0,15.0
50,14.0,15.0,7.0,12.0,15.0
51,15.0,17.0,8.0,14.0,11.0
52,12.0,20.0,11.0,14.0,7.0
53,12.0,16.0,12.0,15.0,7.0
54,11.0,18.0,13.0,10.0,14.0
55,12.0,21.0,16.0,19.0,9.0
56,12.0,21.0,15.0,19.0,15.0
57,15.0,23.0,24.0,19.0,14.0
58,15.0,21.0,17.0,21.0,21.0
59,13.0,25.0,25.0,28.0,17.0
60,11.0,25.0,30.0,25.0,19.0
61,10.0,16.0,33.0,23.0,20.0
62,12.0,14.0,24.0,23.0,24.0
63,9.0,16.0,20.0,19.0,9.0
64,7.0,19.0,15.0,19.0,15.0
65,11.0,10.0,21.0,14.0,14.0
66,11.0,12.0,12.0,15.0,15.0
67,11.0,12.0,13.0,11.0,12.0
68,11.0,12.0,17.0,10.0,5.0
69,11.0,13.0,7.0,15.0,10.0
70,10.0,13.0,16.0,14.0,11.0
71,10.0,13.0,11.0,11.0,9.0
72,10.0,11.0,12.0,12.0,15.0
73,10.0,13.0,11.0,7.0,9.0
74,9.0,13.0,14.0,11.0,8.0
75,5.0,11.0,13.0,7.0,11.0
76,2.0,11.0,4.0,5.0,10.0
77,2.0,11.0,7.0,3.0,1.0
78,3.0,7.0,3.0,3.0,2.0
79,3.0,1.0,2.0,3.0,5.0
80,3.0,1.0,6.0,9.0,1.0
81,1.0,3.0,13.0,12.0,4.0
82,4.0,5.0,8.0,17.0,4.0
83,3.0,3.0,11.0,6.0,4.0
84,3.0,5.0,7.0,11.0,7.0
85,4.0,10.0,10.0,11.0,1.0
86,4.0,8.0,9.0,10.0,4.0
87,2.0,9.0,10.0,7.0,10.0
88,15.0,12.0,17.0,10.0,7.0
89,9.0,7.0,6.0,10.0,11.0
90,4.0,4.0,5.0,4.0,6.0
91,5.0,4.0,5.0,2.0,3.0
92,4.0,1.0,5.0,4.0,6.0
93,3.0,4.0,1.0,4.0,1.0
94,4.0,3.0,2.0,6.0,1.0
95,4.0,5.0,8.0,4.0,5.0
96,4.0,4.0,1.0,5.0,6.0
97,4.0,5.0,1.0,5.0,1.0
98,2.0,4.0,1.0,5.0,4.0
99,5.0,3.0,2.0,1.0,2.0
100,5.0,3.0,5.0,7.0,4.0
101,6.0,2.0,7.0,12.0,1.0
102,5.0,4.0,1.0,10.0,3.0
103,4.0,6.0,1.0,7.0,8.0
104,3.0,3.0,4.0,8.0,5.0
105,4.0,3.0,2.0,3.0,2.0
106,5.0,7.0,7.0,9.0,1.0
107,5.0,6.0,1.0,9.0,1.0
108,8.0,6.0,8.0,18.0,4.0
109,11.0,6.0,7.0,8.0,8.0
110,9.0,9.0,7.0,10.0,1.0
111,9.0,11.0,7.0,12.0,5.0
112,8.0,11.0,6.0,12.0,1.0
113,8.0,12.0,10.0,12.0,3.0
114,10.0,13.0,6.0,13.0,6.0
115,10.0,10.0,17.0,16.0,11.0
116,8.0,10.0,14.0,12.0,6.0
117,9.0,10.0,12.0,14.0,4.0
118,9.0,12.0,10.0,16.0,3.0
119,9.0,11.0,16.0,11.0,6.0
120,10.0,13.0,10.0,14.0,9.0
121,8.0,14.0,15.0,10.0,7.0
122,8.0,15.0,9.0,16.0,10.0
123,8.0,17.0,11.0,10.0,7.0
124,8.0,21.0,14.0,20.0,4.0
125,10.0,30.0,18.0,14.0,7.0
126,7.0,42.0,18.0,25.0,15.0
127,16.0,27.0,24.0,30.0,14.0
128,11.0,16.0,19.0,27.0,31.0
129,3.0,13.0,21.0,24.0,13.0
130,5.0,16.0,13.0,25.0,13.0
131,13.0,18.0,18.0,16.0,13.0
132,15.0,22.0,19.0,24.0,20.0
133,12.0,29.0,21.0,20.0,19.0
134,6.0,32.0,11.0,21.0,20.0
135,12.0,23.0,10.0,17.0,13.0
136,10.0,18.0,19.0,18.0,9.0
137,11.0,15.0,15.0,20.0,11.0
